"GOVCODE","GOVNAME","RESCODE","ENROLLMT","NSCHLS","SCHLVL","AREA","MCCODE","BIGCODE","EMPST","GOVCOMP","GBATLRG","GBELDIST","GBTOT","GBMALE","GBWM","GBBKM","GBWHM","GBBKHM","GBAMIM","GBASM","GBFEM","GBWFEM","GBBKFEM","GBWHFEM","GBBKHFEM","GBAMIFEM","GBASFEM","ABTOT","ABMALE","ABWM","ABBKM","ABWHM","ABBKHM","ABAMIM","ABASM","ABFEM","ABWFEM","ABBKFEM","ABWHFEM","ABBKHFEM","ABAMIFEM","ABASFEM","OOSUPER","OOMISC","OOMALE","OOWM","OOBKM","OOWHM","OOBKHM","OOAMIM","OOASM","OOFEM","OOWFEM","OOBKFEM","OOWHFEM","OOBKHFEM","OOAMIFEM","OOASFEM","FYMMDD","ADVSC","TYPESC"
"265106002","GREEN CY SCH DIST R 1",1,275,2,3,5,"000000000000000000000000000000",2,2,4,6,6,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265106004","MILAN SCH DIST C 2",1,565,2,3,5,"000000000000000000000000000000",2,2,4,6,6,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265107001","MARK TWAIN SCH DIST R-8",1,81,1,1,5,"000000000000000000000000000000",2,2,4,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265107002","BRADLEYVILLE SCH DIST R 1",1,213,2,3,4,"261072602226034260770000000000",2,2,4,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265107003","BRANSON SCH DIST R 4",1,1855,4,3,5,"000000000000000000000000000000",2,2,4,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265107004","CEDAR CREEK SCH DIST R-7",1,66,1,1,2,"000000000000000000000000000000",2,2,4,5,0,5,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265107005","FORSYTH SCH DIST R 3",1,818,2,3,5,"000000000000000000000000000000",2,2,3,6,6,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
"265107006","HOLLISTER SCH DIST R 5",1,782,2,3,4,"261072610500000000000000000000",2,2,4,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265107007","KIRBYVILLE SCH DIST R 6",1,166,1,1,5,"000000000000000000000000000000",2,2,4,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265107008","TANEYVILLE SCH DIST R 2",1,150,1,1,5,"000000000000000000000000000000",2,2,4,6,6,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265108012","CABOOL SCH DIST R-4",1,913,3,3,4,"261082603400000000000000000000",2,2,3,6,0,6,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265108034","HOUSTON SCH DIST R 1",1,1120,4,3,5,"000000000000000000000000000000",2,2,4,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
"265108039","LICKING SCH DIST R 8",1,875,2,3,4,"261082608100000000000000000000",2,2,4,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,2,0
"265108056","PLATO SCH DIST R 5",1,548,2,3,4,"261082605326085261150000000000",2,2,4,6,6,0,5,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,2
